p1_name,p2_name,y_true,y_pred_catboost,abs_error,consistency_confidence,density_confidence,combined_confidence,neighbor_target_std,mean_neighbor_distance,local_mean_target
bjørn andersen,anders lätt,-10.0,-7.0,3.0,0.041683283025237855,0.0959078956050417,0.05523943617018882,22.990432792794486,9.42667023076077,-13.2
svein wang dybvik,bart lorkiewicz,-27.0,-17.0,10.0,0.10815240673485554,0.06391867734660142,0.09709397438779202,8.246211251235321,14.644879423544115,14.0
dan holck-hansen,keith lesser,-43.0,-36.0,7.0,0.05750351591256277,0.09461990406737182,0.06678261295126503,16.390240998838305,9.568600865289127,-15.6
marc-andré rauber,magnus bäckström,-44.0,-43.0,1.0,0.13479409488439018,0.06203358825339781,0.11660396822664208,6.418722614352485,15.120299150117699,-33.0
ola ulmo,rachid ben cherif,39.0,41.0,2.0,0.1075896245034084,0.0905336431134233,0.10332562915591212,8.294576541331088,10.045617580496232,18.0
bjørn andersen,jens deleuran,32.0,8.0,24.0,0.14609938716770152,0.10496623042042859,0.1358160979808833,5.844655678480984,8.526873509648103,-19.8
tristan champion,magnus edby,-30.0,-21.0,9.0,0.09509046229004306,0.08990129460711786,0.09379317036931177,9.516301802696255,10.123310341304315,-27.8
joel durston,bart lorkiewicz,-18.0,-13.0,5.0,0.04945906410483321,0.08425563815800632,0.05815820761812649,19.21874085365636,10.868641931412109,-7.8
victor solomon,richard hughes,33.0,29.0,4.0,0.0614100539107233,0.05505840319118546,0.05982214123083884,15.28397853963424,17.16253182148396,-11.0
jens deleuran,jørgen karthum hansen,23.0,28.0,5.0,0.11825166214144504,0.056888541539830556,0.10291088199104143,7.4565407529228995,16.578232328207065,39.0
kaisu anttila,mathilde deleuran,2.0,-1.0,3.0,0.05961822164045311,0.09829641419535973,0.06928776977917978,15.773395322504284,9.173311083480062,3.0
adeline kilchenmann,saga jönsson slättsjö,39.0,35.0,4.0,0.06305432437127101,0.06021615531583827,0.06234478210741282,14.859340496805368,15.60683905764034,14.0
marc-andré rauber,victor solomon,-22.0,-18.0,4.0,0.045750650905847165,0.12829101358599188,0.06638574157588334,20.857612519173905,6.794778231522136,8.6
pekka tennilä,hårek haugerud,32.0,40.0,8.0,0.057706351082518294,0.07332342116697965,0.061610618603633635,16.329115101560156,12.638207056960653,26.4
karsten solberg,anders lätt,-39.0,-26.0,13.0,0.028414284066404467,0.100478243604663,0.0464302739509691,34.193566646373704,8.952403267861182,2.0
dan holck-hansen,greg lorkiewicz,-35.0,-33.0,2.0,0.044828423295060746,0.09063454383326242,0.05627995342961116,21.307275752662516,10.033320825662997,-10.0
bart lorkiewicz,ola ulmo,-26.0,-7.0,19.0,0.08347258100575981,0.08470478198412215,0.0837806312503504,10.979981785048643,10.805708917206696,3.2
keith lesser,bjørn andersen,24.0,19.0,5.0,0.05591863002508177,0.08238998607865161,0.06253646903847423,16.883127672324225,11.137397365808196,3.6
jens deleuran,svein wang dybvik,2.0,14.0,12.0,0.05858283136868501,0.08064277186311418,0.0640978164922923,16.069847541280534,11.400367409213494,13.6
victor solomon,ignacio sevillano,21.0,17.0,4.0,0.07576698610001031,0.08763001657645823,0.0787327437191223,12.198360545581526,10.411614867463685,-18.0
jens deleuran,svein wang dybvik,8.0,14.0,6.0,0.050972892594547056,0.0670684447081557,0.054996780622949215,18.618270596379247,13.910141488317489,10.6
greg lorkiewicz,magnus bäckström,24.0,10.0,14.0,0.03651452751964102,0.10919424293910993,0.05468445637450825,26.386360112755227,8.157991969939577,1.4
anders lätt,keith lesser,-8.0,-25.0,17.0,0.047247107679784926,0.0884305108545865,0.05754295847348532,20.16531675922796,10.308314181791639,-15.4
joel durston,tristan champion,27.0,22.0,5.0,0.11281790434804405,0.06705376494029161,0.10137686949610594,7.863841300534999,13.913405696018046,17.4
ola ulmo,pekka tennilä,30.0,16.0,14.0,0.0733158241840512,0.08538858785043645,0.07633401510064752,12.639620247459968,10.711166856999249,11.8
bart lorkiewicz,magnus edby,1.0,-8.0,9.0,0.044153824746334135,0.07213486608032632,0.05114908507983218,21.648094604375693,12.86292169568101,-8.6
bjørn andersen,dan holck-hansen,5.0,2.0,3.0,0.05946559293551948,0.1157022077247206,0.07352474663281976,15.816447135814036,7.642877432202556,-3.2
bjørn andersen,karsten solberg,36.0,35.0,1.0,0.14191469581362173,0.11158406066875586,0.13433203702740526,6.04648658313239,7.961853458340807,24.2
victor solomon,jens deleuran,-4.0,4.0,8.0,0.07304519909630246,0.07895676363043588,0.0745230902298358,12.690153663372245,11.665159436886098,-3.6
ignacio sevillano,svein wang dybvik,-23.0,-20.0,3.0,0.047632658992200566,0.11567980923657963,0.06464444655329533,19.9939990997299,7.644550908230452,-8.2
richard hughes,jørgen karthum hansen,18.0,20.0,2.0,0.05990880850084172,0.10267005810772095,0.07059912090256153,15.692036196746425,8.739937995854689,1.4
greg lorkiewicz,ola ulmo,-26.0,-1.0,25.0,0.0675345099940654,0.10633757153889159,0.07723527538027194,13.807244475274565,8.404013892063192,4.4
keith lesser,anders lätt,-6.0,15.0,21.0,0.046365122290522004,0.09433344980298,0.0583572041686365,20.567936211491904,9.600693625522533,-5.6
ola ulmo,keith lesser,4.0,1.0,3.0,0.10595454763378341,0.08364835189130398,0.10037799869816355,8.438009243891594,10.954808162860639,13.0
magnus bäckström,magnus edby,-17.0,-29.0,12.0,0.10414144201428256,0.08099562466078605,0.09835498767590845,8.602325267042627,11.346345919153691,-10.0
greg lorkiewicz,bart lorkiewicz,7.0,13.0,6.0,0.08070227316494652,0.09520024302959375,0.08432676563110833,11.391224692718515,9.504174865279936,14.2
pekka tennilä,anders lätt,-8.0,1.0,9.0,0.04933227981616116,0.11917029989099293,0.0667917848348691,19.27070315271345,7.3913525510527105,-19.8
rachid ben cherif,bjørn andersen,5.0,15.0,10.0,0.05562467742571846,0.11040102324116698,0.06931876387958058,16.977632343763364,8.057887061567689,-12.4
marc-andré rauber,joel durston,-30.0,-36.0,6.0,0.09151023899951502,0.08092302385777599,0.08886343521408026,9.927738916792686,11.357422552048009,-18.2
