p1_name,p2_name,y_true,y_pred_catboost,abs_error,consistency_confidence,neighbor_target_std,mean_neighbor_distance,local_mean_target
geoffrey bonnamy,sebastien guicherd,-30.0,-8.0,22.0,0.056582425994704214,16.673332000533065,2.778903879035064,0.0
johnny bispham,michaël bouton,-20.0,-3.0,17.0,0.06528939073611799,14.316424134538623,4.649638029628442,-2.2
mark de rijter,gary o' hara,6.0,6.0,0.0,0.03884478108556355,24.743483990739865,1.160778711446115,-2.4
hei nam lee,aurélien guyonneau,-17.0,-15.0,2.0,0.04716320384782156,20.202970078679026,2.881346814724128,17.2
giovanni gentile,alex porush,-14.0,1.0,15.0,0.056414218760381905,16.726027621644057,3.2737570613505733,13.2
holly ranson,mathilde deleuran,24.0,11.0,13.0,0.05042924446629628,18.829763673503713,2.514900590007449,2.2
tobias vogelsang,yves bret,-18.0,-6.0,12.0,0.04830503298284844,19.701776569639602,2.717877828026034,-2.2
nicolas lenggenhager,matěj volf,28.0,10.0,18.0,0.11571409877730174,7.64198926981712,7.541444657496399,-11.0
john paul champa,théo skibniewski,-6.0,-2.0,4.0,0.052986071128624274,17.872884490199112,2.5880410476946807,-6.6
julien castel,raif fontanelli,20.0,11.0,9.0,0.11333958282795976,7.8230428862431785,5.462291394485262,-3.0
ola ulmo,guidi weijel,1.0,16.0,15.0,0.047269263398851534,20.155396299750596,3.254112571285348,-0.4
tom branke,vikramaditya chaufla,18.0,13.0,5.0,0.05897115362030815,15.957443404254954,2.8691726093339023,5.4
stephane quiquempois,viktor olivemark,23.0,6.0,17.0,0.062494792332080606,15.001333274079341,4.689668442587341,11.4
léon mamié,joerg kanonenberg,-25.0,-11.0,14.0,0.18040359860693578,4.543126676640219,5.601708305938786,-15.6
luca hamon,martin björkryd,15.0,19.0,4.0,0.07272779128749308,12.749901960407382,3.5446070859374608,-4.8
rostislav kniezek,simon bacha,21.0,19.0,2.0,0.06319393110333306,14.824304368165137,2.3669041038807728,10.2
anant gupta,anders lytoft fyrst,-6.0,-7.0,1.0,0.0509896473613519,18.611824198610947,7.446745320947794,15.0
jonathan ritter,jan port,23.0,8.0,15.0,0.1867654906133323,4.354308211415448,2.0198967841206112,7.8
dave edgar,frederic antoine,13.0,7.0,6.0,0.09140919132751883,9.939818911831342,3.0880321108814788,0.0
luke penna,jonathan cassier,-19.0,-33.0,14.0,0.053697869936453514,17.622712617528553,3.4768849473665213,-24.8
ola ulmo,viktor olivemark,22.0,16.0,6.0,0.07267806134851214,12.759310326189265,4.407586810351032,-2.0
kevin ho ching ng,damien andre,-1.0,2.0,3.0,0.054398824777900825,17.38275007011261,3.776709405962099,-9.2
christian börner,andy stenson,-15.0,-29.0,14.0,0.029732062189362213,32.633724886993825,3.041977774754208,-13.2
volker gundelach,seppo raiski,4.0,-4.0,8.0,0.05463876861209859,17.302023003105734,3.5179608743398547,-22.8
stefan niemeyer,magnus edby,-22.0,-30.0,8.0,0.11204927350264693,7.92464510246358,5.186499658286627,-28.0
rakesh gupta,jean-pierre stevenot,22.0,12.0,10.0,0.18185492472353415,4.498888751680797,7.279420707000076,28.4
patrick comte,rahul kejriwal,-32.0,-13.0,19.0,0.04563070832151543,20.915066339842195,1.5186710404433093,8.4
malte thyregod,simon vaclahovsky,-10.0,8.0,18.0,0.08514768275821945,10.744300814850634,7.691970545047863,7.4
dirk skock,victor solomon,39.0,47.0,8.0,0.14466131329911053,5.912698199637792,6.3414538923917005,29.2
mohammed tarik koubaa,bastian holzhäuser,23.0,33.0,10.0,0.0683555966113913,13.629380029920657,2.247640981139868,10.2
danny van de kerkhof,richard hobzik,-37.0,-25.0,12.0,0.09845990480212069,9.156418513807678,6.0504584536407595,-36.4
zoltan matecsa,frank kleiber,-10.0,-6.0,4.0,0.039665632336128145,24.21074141780875,1.6439397499349682,-2.8
henrik mustonen,paul sach,19.0,21.0,2.0,0.1243359412482223,7.042726744663604,3.4282691229043927,3.0
rafał kołodziejski,laurent cocriamont,-49.0,-27.0,22.0,0.15352447281755405,5.513619500836088,4.649792535492809,-35.0
lucas steyer,raif fontanelli,18.0,25.0,7.0,0.06411945780237291,14.595889832415152,2.7107431552206536,26.6
leon steiner,ollie barton,-16.0,-30.0,14.0,0.03478048351598259,27.751756701153173,3.588300938253969,-10.2
nikola mikac,paul twisterling,13.0,18.0,5.0,0.10942360483982713,8.138795979750322,6.070440085900915,14.4
anders lytoft fyrst,per-axel giertz,36.0,32.0,4.0,0.06875686451803119,13.544002362669612,2.864137903457326,-7.6
sebastien guicherd,pekka kainulainen,-26.0,-17.0,9.0,0.07497062584071507,12.338557452149743,2.598962820162641,0.4
