y_true,y_pred,abs_error,knn_confidence,radius_confidence,knn_mean_neighbor_distance,radius_neighbor_count,radius_neighbor_target_std
21.0,21.37916705396954,0.37916705396953887,0.2534258098093643,0.4375,2.945928004540006,7.0,12.287375302998386
-38.0,-30.663522229411313,7.3364777705886866,0.13247009313466535,0.0,6.548873684141132,0.0,
31.0,-4.10127372987381,35.10127372987381,0.2693836015464822,0.6538461538461539,2.712178448350909,17.0,14.143114284375264
-30.0,-16.93137080493744,13.06862919506256,0.2127012449341944,0.25,3.701429934316465,3.0,3.299831645537222
-17.0,-8.271841183520777,8.728158816479223,0.15545576525706906,0.1,5.432698062669804,1.0,0.0
19.0,8.218896607647277,10.781103392352723,0.20354579266732287,0.25,3.9128993868932938,3.0,3.39934634239519
-5.0,-2.8888888888888897,2.1111111111111103,1.0,0.9909456740442656,0.0,985.0,24.862143947259565
-21.0,-2.8888888888888897,18.11111111111111,1.0,0.9909456740442656,0.0,985.0,24.862143947259565
-21.0,-2.8888888888888897,18.11111111111111,1.0,0.9909456740442656,0.0,985.0,24.862143947259565
-38.0,-31.013786098145587,6.986213901854413,0.171116373486021,0.1,4.843976117701518,1.0,0.0
-18.0,-2.8888888888888897,15.11111111111111,1.0,0.9909456740442656,0.0,985.0,24.862143947259565
34.0,-2.8888888888888897,36.88888888888889,1.0,0.9909456740442656,0.0,985.0,24.862143947259565
-32.0,-13.769890748782588,18.230109251217414,0.39471552713915004,0.8928571428571429,1.5334701354362164,75.0,22.583746367686647
48.0,10.451196791639159,37.54880320836084,0.3271720542877839,0.75,2.05649577002194,27.0,17.964146581852035
33.0,-2.8888888888888897,35.88888888888889,1.0,0.9909456740442656,0.0,985.0,24.862143947259565
22.0,13.684027082815694,8.315972917184306,0.49738311470362134,0.9906832298136646,1.0105226141339279,957.0,24.910890259398776
-8.0,-12.78698818682401,4.78698818682401,0.3109053111111777,0.7352941176470589,2.2164133717304253,25.0,15.441450709049327
23.0,11.32233788591778,11.67766211408222,0.1909069243852862,0.1,4.238154683073786,1.0,0.0
-32.0,-26.513670702282774,5.486329297717226,0.23569679592613466,0.35714285714285715,3.2427390498485664,5.0,13.305637902783918
38.0,-2.8888888888888897,40.88888888888889,1.0,0.9909456740442656,0.0,985.0,24.862143947259565
21.0,7.310781296487834,13.689218703512166,0.2466087421787608,0.55,3.0550062871458294,11.0,16.89540012709215
-36.0,-2.8888888888888897,33.11111111111111,1.0,0.9909456740442656,0.0,985.0,24.862143947259565
43.0,6.155441031406145,36.84455896859386,0.2766518289125952,0.5714285714285714,2.614651686672702,12.0,23.146123985573816
70.0,4.339445929244356,65.66055407075564,0.290497256483665,0.75,2.442373301918709,27.0,15.339057797058752
-25.0,-4.3992725780225035,20.600727421977496,0.46648783021313933,0.9903948772678762,1.1436786454709822,928.0,25.185596656545485
35.0,-5.743170457565653,40.743170457565654,0.25026771587606794,0.5,2.9957211280707017,9.0,15.673363422943218
-37.0,-8.613183323080866,28.386816676919132,0.4250303305822806,0.8732394366197183,1.352773268274821,62.0,20.927455093511654
1.0,-2.8888888888888897,3.8888888888888897,1.0,0.9909456740442656,0.0,985.0,24.862143947259565
48.0,1.796796438947763,46.203203561052234,0.3604996071693789,0.8888888888888888,1.773928126723742,72.0,21.94493670333957
3.0,12.818801335512555,9.818801335512555,0.36616185707666976,0.8953488372093024,1.7310326858829879,77.0,18.604910332499614
-31.0,-17.97532440184666,13.02467559815334,0.19997344801602637,0.25,4.000663887737024,3.0,7.408703590297623
5.0,-2.8888888888888897,7.888888888888889,1.0,0.9909456740442656,0.0,985.0,24.862143947259565
-1.0,11.435249222944943,12.435249222944943,0.3502795855495957,0.9224137931034483,1.854862347832746,107.0,21.662821627374946
52.0,-18.391437282798115,70.39143728279811,0.3800577495089176,0.9333333333333333,1.6311790807900266,126.0,22.36884874788755
49.0,24.251276710173254,24.748723289826746,0.378817958718969,0.8928571428571429,1.6397903715590814,75.0,23.356506588100885
-18.0,-2.8888888888888897,15.11111111111111,1.0,0.9909456740442656,0.0,985.0,24.862143947259565
-34.0,35.36997086096186,69.36997086096186,0.2645843488812052,0.5714285714285714,2.7795130521835456,12.0,10.257788368952745
48.0,12.102787648032896,35.897212351967106,0.3670296109983451,0.7857142857142857,1.7245758108724067,33.0,20.493632687160506
-24.0,-0.3080675778060084,23.691932422193993,0.335696281193333,0.8656716417910447,1.9788831632128914,58.0,19.430200698079716
-21.0,3.4551552941034926,24.45515529410349,0.24722413273072116,0.5263157894736842,3.0449125615467705,10.0,17.913402803487674
26.0,23.249471568774766,2.7505284312252343,0.1901211172716463,0.1,4.259804983005615,1.0,0.0
31.0,-5.0832325589340925,36.08323255893409,0.2867585479841038,0.6896551724137931,2.4872543714213333,20.0,24.584751371531095
17.0,-5.9261480834635805,22.92614808346358,0.2948666948220414,0.55,2.3913630042332255,11.0,21.83938363795898
7.0,-12.402710916726095,19.402710916726093,0.21008536756296317,0.25,3.759969776097315,3.0,16.858891488535722
-34.0,-2.8888888888888897,31.11111111111111,1.0,0.9909456740442656,0.0,985.0,24.862143947259565
42.0,4.07355164619958,37.92644835380042,0.3054562297446383,0.6896551724137931,2.2737914719762005,20.0,15.50249979841961
-16.0,12.21063709393325,28.21063709393325,0.22469244503779479,0.25,3.4505279197606904,3.0,2.943920288775949
33.0,13.392266832276066,19.607733167723936,0.24885164912705762,0.4375,3.018458400849995,7.0,24.619554199448697
21.0,17.392499778650212,3.607500221349788,0.14382685323903674,0.0,5.9528045526938165,0.0,
28.0,12.098563918994616,15.901436081005384,0.1935331191501198,0.1,4.16707426817381,1.0,0.0
5.0,9.506751526624342,4.506751526624342,0.260607263992047,0.5714285714285714,2.837191583541268,12.0,18.46317656550164
4.0,8.371894730953134,4.371894730953134,0.21967918251786603,0.3076923076923077,3.552092685972519,4.0,10.662434056068061
25.0,40.63036262203178,15.630362622031782,0.15494714568680507,0.1,5.453813625075107,1.0,0.0
13.0,-3.6344269501845505,16.63442695018455,0.25793037481224135,0.625,2.8770152632389383,15.0,17.518244457961217
40.0,20.948907143267252,19.051092856732748,0.255011269588176,0.4375,2.921395323488741,7.0,26.933023504650212
30.0,2.4700750860082317,27.529924913991767,0.21475984930379663,0.35714285714285715,3.656363855915229,5.0,12.188519188154071
-38.0,-15.011936240129478,22.98806375987052,0.38341396252309523,0.881578947368421,1.6081470623015308,67.0,19.954972704075676
11.0,9.204927031460173,1.7950729685398272,0.2560236880855897,0.5263157894736842,2.9058885819412783,10.0,15.717824276915684
-49.0,-6.7785780449860304,42.221421955013966,0.40759973222164997,0.9338235294117647,1.453387284013736,127.0,24.522347495520357
29.0,6.911781200455544,22.088218799544457,0.24270896818178836,0.47058823529411764,3.120160896778247,8.0,17.74427724648147
36.0,31.24775490318728,4.752245096812722,0.28625841058898527,0.55,2.493347140237627,11.0,6.082083157700993
23.0,1.511957020767433,21.488042979232567,0.13899420314492114,0.0,6.194544645558767,0.0,
19.0,8.120151307770778,10.879848692229222,0.23157516943134412,0.4375,3.318252265368517,7.0,16.201536838163452
-54.0,2.011627130943365,56.01162713094337,0.32544610530563894,0.8676470588235294,2.072705384078453,59.0,20.893156471915727
-19.0,-20.907643996500028,1.9076439965000276,0.3169099860486149,0.82,2.1554701461714023,41.0,17.633117400740367
